code	ingredients_text
11693	 - _Beurre_ 
11693	 bicarbonate de soude
11709	Sucre • Beurre 
11709	_Lait_
11709	 • flocons d'_avoine_ 
11709	contient du _gluten_
11709	 • Farine de _blé_
11709	contient du _gluten_
11709	avec du _blé_
11709	 du carbonate de calcium
11709	 du fer
11709	 de la niacine
11709	 de la thiamine
11709	 • Raisins secs 
11709	 • Noix de coco desséchée 
11709	 • Abricots séchés 
11709	_Sulfites_
11709	 • Golden syrup 
11709	sirop de sucre inverti
11709	 • _œufs_ pasteurisés • Agent de levage: Bicarbonate de sodium
11709	 sel
11709	 Mélasse
11730	Farine de _blé_ contient _Gluten_ 
11730	avec Farine de _blé_
11730	 Carbonate de
11730	 calcium
11730	 Fer
11730	 Niacine
11730	 Thiamine
11730	 - Canneberges déshydratées sucrées 
11730	Sucre - canneberges - Antioxydant : Acide citrique - Huile de tournesol
11730	 - Sucre - Beurre 
11730	_Lait_
11730	 Sirop de glucose - Fécule de maïs - _Lait_ en poudre  - Poudre à lever: E450
11730	 Bicarbonate de soude
11754	Farine de _blé_ contient _Gluten_ 
11754	avec Farine de _blé_
11754	 Carbonate de calcium
11754	 Fer
11754	 Niacine
11754	 Thiamine
11754	 -  Beurre 
11754	_Lait_
11754	 - Gingembre confit cristallisé 
11754	Gingembre conﬁt
11754	 Sucre
11754	 - Sucre - Flocons d'_avoine_ 
11754	contiennent _Gluten_
11754	 - Sirop de sucre inverti - Gingembre moulu - Poudre à lever: E503
11754	 Bicarbonate de soude
11778	Farine de _blé_ contient _Gluten_ 
11778	avec farine de _blé_
11778	 Carbonate de calcium
11778	 Fer
11778	 Niacine
11778	 Thiamine
11778	 Sucre
11778	 Gingembre conﬁt cristallisé 
11778	Gingembre
11778	 Sucre de Canne
11778	 Beurre 
11778	_Lait_
11778	 Flocons d'_avoine_ 
11778	contient _Gluten_
11778	 _Avoine_ grossièrement moulue 
11778	contient _Gluten_
11778	 Fécule de maïs
11778	 _Lait_ en poudre écrémé
11778	 Émulsifiant: Lécithine de _soja_ 
11778	 Bicarbonate de soude
11778	 Sirop de sucre inverti
11778	 Gingembre moulu
11778	 Sel
11815	Farine de _blé_ contient _gluten_ 
11815	avec farine de _blé_
11815	 carbonate de calcium
11815	 fer
11815	 niacine
11815	 thiamine
11815	 beurre 
11815	_lait_
11815	 gingembre confit cristallisé 
11815	gingembre confit
11815	 sucre
11815	 sucre
11815	 flocons d'_avoine_ 
11815	contiennent _gluten_
11815	 sirop de sucre inverti
11815	 gingembre moulu
11815	 poudre à lever : E503
11815	 bicarbonate de soude
11815	 _lait_ en poudre écrémé
11815	 sel
12444	_Lait_ écrémé
12444	 sucre
12444	 _crème_
12444	 sirop de glucose
12444	 poudre de _lactosérum_ sucré
12444	 _lait_ écrémé en poudre
12444	 stabilisants 
12444	 émulsifiant 
12444	 arôme de vanille
13029	_Cheddar_ 
13029	 eau
13029	 _fromage_ 
13029	 _lait_ écrémé en poudre
13029	 _beurre_
13029	 sels de fonte 
13029	 protéines de _lait_
13029	 arômes naturels
13029	 sel
13029	 colorants 
13029	beta carotène
13029	 extrait de paprika
13029	 antiagglomérant 
13029	lécithine de tournesol
14472	California wild rice
16063	Sea clams
16063	 sea clam juice
16063	 potatoes
16063	 wheat flour
16063	 modified corn starch
16063	 salt
16063	 soybean oil
16063	 onions
16063	 natural clam flavor
16063	 celery
16063	 xanthan gum
16063	 black pepper
18097	Salade Iceberg
18166	Farine de blé contient _Gluten_ 
18166	avec farine de _blé_
18166	 Carbonate Niacine
18166	 Thiamine
18166	 - Eau - farine de _blé_ fermenté déshydraté 
18166	contient _gluten_
18166	 - levure 
18166	levure
18166	 levure enrichie en vitamine D
18166	 Bicarbonate de soude - sucre - sel
19170	Large flat mushrooms
2042861915	Proteinmischung 
2042861915	_Sojaprotein_
2042861915	 _Weizenprotein_
2042861915	 _Molkenprotein_
2042861915	 _Wheyprotein_
2042861915	 _Milchprotein_
2042861915	 _Hühnereiweiss_
2042861915	 Kakaopulver 
2042861915	nur Sorte Schoko
2042861915	 Aroma
2042861915	 Pflanzenöl
2042861915	 Süßungsmittel Natriumsaccharin und Acesulfam-K
227	Farine de _blé_
227	 fourrage lait et caramel 17% 
227	sirop de glucose-fructose
227	 _lait_ concentré sucré 20%*
227	 sel
227	 arôme
227	 gélifiant : pectines
227	 conservateur : sorbate de potassium
227	 huile de colza
227	 _œufs_ frais
227	 sucre
227	 beurre de cacao
227	 poudre de _lait_ entier
227	 pâte de cacao
227	 émulsifiant : lécithines 
227	_soja_
227	 arôme
227	 sirop de glucose-fructose
227	 stabilisant : glycérol
227	_blé_
227	 sel
227	 émulsifiants : mono et diglycérides d’acides gras
227	 _lait_ écrémé en poudre
227	 arôme
23092	Farine de _blé_ contient Gluten 
23092	avec Farine de _blé_
23092	 calcium
23092	 Fer
23092	 Niacine
23092	 Thiamine
23092	 • Sucre • _Noix de Pécan_ 
23092	 • Beurre 
23092	_Lait_
23092	 sel
24679	eau
24679	 _orge_ malté
24679	 _blé_ torréfié
24679	 sucre Demerara
24679	 dioxyde de carbone
24679	 houblon
24679	 levure
25157	Crust: _Wheat_  Flour
25157	 Water
25157	 Olive Oil
25157	 Salt
25157	 Yeast
25157	 Malted Flour
25157	 Toppings: Tomato Sauce 
25157	Imported Italian Tomatoes
25157	 Olive Oil
25157	 Basil
25157	 Garlic
25157	 Salt
25157	 Pepper
25157	 Low Moisture Mozzarella Cheese 
25157	Pasteurized Whole _Milk_ 
25157	Cheese Cultures
25157	 Salt
25157	 Enzymes
25157	 Cooked Italian Sausage 
25157	Pork
25157	 Water
25157	 Salt
25157	 Spices
25157	 Dextrose
25157	 Flavorings
25157	 Garlic Powder
25157	 Paprika
25157	 Uncured Pepperoni with no nitrate or nitrate added 
25157	Pork
25157	 Salt
25157	 Spices
25157	 Water
25157	 Dextrose
25157	 Paprika
25157	 Natural Flavoring
25157	 Dehydrated Garlic
25157	 Oleoresin Paprika
25157	 Lactic Acid Starter Culture
25157	 Roasted Red Peppers
25157	 Roasted Yellow Peppers
25157	 Roasted Green Peppers
25157	 Roasted Onions
25157	 Romano Cheese 
25157	Pasteurized Cow's _Milk_
25157	 Salt
25157	 Enzymes
25157	 Parmesan Cheese 
25157	Pasteurized Cultured Milk
25157	 Enzymes
25157	 Salt
25157	 Parsley
25751	Porc d’origine britannique 
25751	élaboré avec 120 g de porc cru pour 100 g de jambon rôti au miel
25751	 Sucre
25751	 Miel 
25751	 Sels de salaison 
25751	Sel
25751	 Conservateur: Nitrite de sodium
25751	 Sirop de sucre caramélisé
28264	contiennent Conservateur : E220 
28264	_Sulfites_
28264	 • Dattes hachées 
28264	 • Graines de lin 
28264	 • Graines de tournesol 
28264	 • Sucre • _Noix de cajou_ 
28264	 • Poudre à lever : Bicarbonate de soude
2983542515	100% Soja-Protein-Isolat 
2983542515	_Soja_
31858	eau
31858	 légumes 38% 
31858	jus de tomates à base de concentré
31858	 carotte
31858	 pomme de terre
31858	 oignon
31858	 poireau
31858	 lait écrémé reconstitué
31858	 amidon transformé de maïs
31858	 huile de colza
31858	 sucre
31858	 beurre de cuisine
31858	 sel
31858	 arôme
31858	 vitamine A 
31858	bêta-carotène
33046	beef braising steak  
36559	COOKED ELBOW MACARONI 
36559	WATER
36559	 ENRICHED SEMOLINA 
36559	DURUM _WHEAT_
36559	 SEMOLINA
36559	 NIACIN
36559	 FERROUS SULFATE
36559	 THIAMINE MONONITRATE
36559	 RIBOFLAVIN
36559	 FOLIC ACID
36559	 _MILK_
36559	 CHEDDAR CHEESE 
36559	PASTEURIZED COW'S _MILK_
36559	 CHEESE CULTURE
